name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boulder,2023-01-17,35.7,26.4,30.6,32.8,21.7,27.3,25,80.3,0.04,100,8.33,snow,6.2,0.2,15,6.9,10.7,1004.6,50.1,7.9,73,6.3,4,10,2023-01-17T07:20:25,2023-01-17T17:02:24,0.86,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-18,30.4,22.2,27.6,30.3,16.4,22.9,25.9,93.2,0.07,100,29.17,"rain,snow",8.7,5,26.4,17.2,344.5,1007,85,4.4,8.7,0.8,0,10,2023-01-18T07:19:57,2023-01-18T17:03:32,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-19,32.1,20.6,26.9,32.1,12.9,24.8,11.9,53.9,0.005,100,4.17,"rain,snow",0,4.4,33.3,10.4,259.1,1013.5,6.4,9.9,118.1,10.2,6,10,2023-01-19T07:19:26,2023-01-19T17:04:41,0.93,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-20,32.2,19.4,25.5,32.2,16,25.1,13.6,61,0,0,0,"rain,snow",0.4,2.1,9.2,3.4,317.4,1019.6,66.1,9.9,58.3,5,2,10,2023-01-20T07:18:53,2023-01-20T17:05:50,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-21,32,17.3,26.1,31.8,12.2,23.1,15.9,66.7,0.001,100,4.17,"rain,snow",0.1,1.5,24.2,9,125.1,1018.1,89.3,8.9,72.1,6.3,3,10,2023-01-21T07:18:18,2023-01-21T17:07:00,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-22,41,22.8,30.8,39,14.5,28.2,15.3,53.5,0,0,0,,0,0.7,25.3,6.9,230.3,1012.2,32.5,9.9,132.9,11.4,5,10,2023-01-22T07:17:41,2023-01-22T17:08:10,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-23,34,26.7,29.2,30.9,21.5,26.7,23,78,0.002,100,8.33,"rain,snow",1.4,0.2,10.3,8,59,1018,95.3,8.7,80.1,6.9,5,10,2023-01-23T07:17:02,2023-01-23T17:09:21,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-24,34,20.9,27.3,32.1,16.4,24.3,18.8,71.9,0,0,0,"rain,snow",0.4,0,11.4,5.7,170.5,1016.9,52.4,8.6,101.2,8.7,4,10,2023-01-24T07:16:21,2023-01-24T17:10:32,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-25,34,19.3,27.7,34,18.5,25,11,50.9,0,0,0,snow,0.2,0,20.8,8.1,141.2,1020.2,78.5,9.9,79.5,6.9,4,10,2023-01-25T07:15:39,2023-01-25T17:11:43,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-26,39.6,20.7,32.3,32.9,13.1,25.3,3.9,30.3,0,0,0,,0,0,51.7,18.9,249.5,1019.2,32.9,9.9,129.4,11.2,6,10,2023-01-26T07:14:54,2023-01-26T17:12:55,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-27,40.8,31.4,36.7,40.7,26,33,14.7,40.8,0,0,0,,0,0,57.5,15.6,267.7,1009.8,2.4,9.9,76.3,6.7,3,10,2023-01-27T07:14:07,2023-01-27T17:14:07,0.2,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-28,35.1,12.2,25.9,35.1,1.8,21.5,17.3,71.5,0.001,100,4.17,snow,1,0.1,30,10.3,47.8,1010.7,62.8,8.6,37.4,3.5,1,10,2023-01-28T07:13:19,2023-01-28T17:15:19,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-01-29,10.5,-0.3,4.7,3.9,-10.2,-4.5,1.1,84.6,0,0,0,snow,1.6,1,11.4,5.9,42.4,1017.4,100,5.9,26.4,2.3,1,10,2023-01-29T07:12:29,2023-01-29T17:16:31,0.27,Overcast,Cloudy skies throughout the day.,cloudy,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-30,8.8,-3.8,2.3,8.8,-10.5,-1.6,-5,71.5,0.001,100,4.17,snow,1.7,1.2,9.2,4.7,29.7,1018.7,76.6,7.7,111.3,9.7,5,10,2023-01-30T07:11:37,2023-01-30T17:17:44,0.3,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-01-31,26.6,-4,10.3,24.8,-20.8,7.2,0.5,66.4,0,0,0,,0,0.6,15,9.9,336.2,1018.1,6,9.6,154.6,13.4,6,10,2023-01-31T07:10:43,2023-01-31T17:18:56,0.33,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,72053800164"
Boulder,2023-02-01,42.8,11.7,25.6,39.9,2.6,22.4,11.1,56.7,0,0,0,,0,0,16.1,7.5,346.6,1018.5,0.1,9.9,154.1,13.3,6,10,2023-02-01T07:09:48,2023-02-01T17:20:09,0.37,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-02,43.1,20.6,31.2,39.6,14,28.6,16.5,55.5,0,0,0,,0,0,15,7.5,327.5,1024.9,0,9.9,154.3,13.3,6,10,2023-02-02T07:08:51,2023-02-02T17:21:21,0.4,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,72053800164"
Boulder,2023-02-03,58.4,27.9,46.5,58.4,27.9,43.9,9.9,23.8,0,0,0,,0,0,21.9,13.2,256.7,1022.9,0,9.9,150.7,13.1,6,10,2023-02-03T07:07:52,2023-02-03T17:22:34,0.43,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-04,52.2,41.1,48.1,52.2,37.3,46.5,9.6,20.9,0,0,0,,0,0,31.1,21,275,1017,0,9.9,146.9,12.4,6,10,2023-02-04T07:06:51,2023-02-04T17:23:47,0.47,Clear,Clear conditions throughout the day.,clear-day,"KLMO,D5993,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-05,44.7,31.7,36.7,44.7,28.4,35.2,20.7,53.1,0,0,0,,0,0,20.8,6.8,44.4,1013.5,0,9.9,144.2,12.5,6,10,2023-02-05T07:05:49,2023-02-05T17:24:59,0.5,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164,C7944"
Boulder,2023-02-06,44.5,33.6,39.2,41.1,27.5,34.3,15.6,38.8,0,0,0,,0,0,36.9,19.7,271.1,1011.2,48.4,9.9,93.4,8.2,5,10,2023-02-06T07:04:46,2023-02-06T17:26:12,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-07,49.9,28.3,36.3,47.5,23.8,32.9,11.2,37.2,0,0,0,,0,0,15,12.4,199.2,1021.5,0,9.9,166.1,14.2,6,10,2023-02-07T07:03:41,2023-02-07T17:27:24,0.57,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164,C7944"
Boulder,2023-02-08,49.8,26.4,36.2,45.5,20.7,31.9,15.2,44.9,0,0,0,"rain,snow",0.2,0,34.4,21.7,274.4,1016.7,8.2,9.9,142.1,12.2,6,10,2023-02-08T07:02:34,2023-02-08T17:28:36,0.6,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164,C7944"
Boulder,2023-02-09,34,21.2,30.1,30.3,16.9,24.1,9.3,42.1,0,0,0,,0,0,36.9,22.8,13,1026.2,55.4,9.9,118,10.3,6,10,2023-02-09T07:01:26,2023-02-09T17:29:48,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-10,46.3,15.6,29.4,43.6,10.6,28.1,10.4,48.2,0,0,0,,0,0,9.2,6.8,42.1,1025.4,0,9.9,173.7,15,6,10,2023-02-10T07:00:17,2023-02-10T17:31:00,0.67,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-11,54.1,26.3,38.8,54.1,20.8,37.4,17.5,45.2,0,0,0,,0,0,9.2,6.7,190.3,1016.5,4.4,9.9,156.2,13.5,6,10,2023-02-11T06:59:06,2023-02-11T17:32:12,0.71,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72038500419,72053300160,BTAC2,ATC01,KBDU,99999994075,72053800164"
Boulder,2023-02-12,48.3,30.1,38.2,45.7,25.7,35.4,18.7,46.1,0,0,0,,0,0,9.2,6.9,53.3,1016.3,7.7,9.7,160.8,13.7,6,10,2023-02-12T06:57:54,2023-02-12T17:33:23,0.74,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
Boulder,2023-02-13,55.5,28.1,40.3,55.5,24.4,38.7,18.4,43.2,0,0,0,,0,0,12.8,10.1,258.4,1006,7.6,9.9,137,11.8,6,10,2023-02-13T06:56:40,2023-02-13T17:34:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"KLMO,72053300160,BTAC2,ATC01,KBDU,72053800164"
